index,event_annotation_id,event_id,argtext,Text,Important,Goal_Test,annotator_ID,Goal_Test_2,Final_Goal_Test
274,1150,135,Ebola,,,important,0,Ebola Virus outbreak in West Africa, Virus outbreak in 
275,1151,135,West Africa,,,important,0,,
276,1154,136,South Korea and Peoples Republic,,,important,0,South Korea and Peoples Republic of China develop a joint response, of China develop 
277,1157,136,a joint response,,,important,0,,
278,1160,137,Thousands,,,important,0,Thousands of people, of 
279,1161,137,people,,,important,0,,
280,1165,138,Astronomers,,,important,0,Astronomers announce discovery, announce 
281,1166,138,discovery,,,important,0,,
282,1170,139,Gunmen,,,important,0,Gunmen armed with heavy weapons, armed with 
283,1171,139,heavy weapons,,,important,0,,
284,1188,140,Police,,,important,0,Police identified attackers, identified 
285,1189,140,attackers,,,important,0,,
286,1194,141,al Shabaab militants,,,important,0,al Shabaab militants overrun an African Union base, overrun 
287,1195,141,an African Union base,,,important,0,,
288,1200,142,UNICEF,,,important,0,UNICEF confirms severe malnutrition, confirms 
289,1201,142,severe malnutrition,,,important,0,,
290,1208,143,Wikipedia,,,important,0,Wikipedia celebrates its 15th anniversary, celebrates 
291,1209,143,its 15th anniversary,,,important,0,,
292,1210,144,Chinas Haier Group,,,important,0,Chinas Haier Group buys General Electrics appliance unit, buys 
293,1211,144,General Electrics appliance unit,,,important,0,,
294,1213,145,A tour bus,,,important,0,A tour bus carrying skiers, carrying 
295,1214,145,skiers,,,important,0,,
296,1219,146,Hurricane Alex,,,important,0,Hurricane Alex heads towards Azores, heads towards 
297,1220,146,Azores,,,important,0,,
298,1225,147,a road accident,,,important,0,a road accident in Udhampur district, in 
299,1226,147,Udhampur district,,,important,0,,
300,1230,148,Hawaii,,,important,0,Hawaii searching for twelve American servicemen, searching for 
301,1231,148,twelve American servicemen,,,important,0,,
302,1238,149,Michigan,,,important,0,Michigan asks for assistance, asks for 
303,1239,149,assistance,,,important,0,,
304,1244,150,A tropical cyclone warning,,,important,0,A tropical cyclone warning issued for northern Cook Islands, issued for 
305,1245,150,northern Cook Islands,,,important,0,,
306,1249,151,five people,,,important,0,five people critically ill in Rennes France, critically ill in 
307,1250,151,Rennes France,,,important,0,,
308,1259,152,Disease Control and Prevention,,,important,0,Disease Control and Prevention warns pregnant women, warns 
309,1260,152,pregnant women,,,important,0,,
310,1269,153,illegal gambling,,,important,0,illegal gambling in Macau, in 
311,1270,153,Macau,,,important,0,,
312,1272,154,Thailand Yingluck Shinawatra,,,important,0,Thailand Yingluck Shinawatra appears in court, appears in 
313,1273,154,court,,,important,0,,
314,1278,155,child abuse,,,important,0,child abuse against twelve former residents, against 
315,1279,155,twelve former residents,,,important,0,,
316,1284,156,American rapper Mos,,,important,0,American rapper Mos banned from South Africa, banned from 
317,1286,156,South Africa,,,important,0,,
318,1293,157,alleged war crimes,,,important,0,alleged war crimes against ethnic minorities, against 
319,1294,157,ethnic minorities,,,important,0,,
320,1298,158,military action,,,important,0,military action against Kurdistan Workers Party forces, against 
321,1299,158,Kurdistan Workers Party forces,,,important,0,,
322,1302,159,Sichuan province,,,important,0,Sichuan province under investigation, under 
323,1303,159,investigation,,,important,0,,
324,1307,160,Azerbaijani National Police,,,important,0,Azerbaijani National Police use tear gas and water cannons, use tear 
325,1308,160,gas and water cannons,,,important,0,,
326,1319,161,At least 10 bodies,,,important,0,At least 10 bodies found in Cappucino cafe, found in 
327,1320,161,Cappucino cafe,,,important,0,,
328,1322,162,Two Australians,,,important,0,Two Australians  have been abducted,  have been 
329,1325,162,abducted,,,important,0,,
330,1331,163,recent terror attacks,,,important,0,recent terror attacks in Jakarta, in 
331,1332,163,Jakarta,,,important,0,,
332,1337,164,AlQaeda,,,important,0,AlQaeda in Arabian Peninsula AQAP militants, in 
333,1338,164,Arabian Peninsula AQAP militants,,,important,0,,
334,1339,165,A suspected gas explosion,,,important,0,A suspected gas explosion in Italian town, in 
335,1340,165,Italian town,,,important,0,,
336,1351,166,ten deaths,,,important,0,ten deaths in its local water supply, in 
337,1352,166,its local water supply,,,important,0,,
338,1353,167,Iran,,,important,0,Iran releases four iranianAmerican prisoners, releases 
339,1354,167,four iranianAmerican prisoners,,,important,0,,
340,1358,168,Iran,,,important,0,Iran complied with its commitments, complied with 
341,1359,168,its commitments,,,important,0,,
342,1365,169,Austria,,,important,0,Austria deploy its army, deploy 
343,1366,169,its army,,,important,0,,
344,1373,170,Argentinian left wing lawmaker Milagro Sala,,,important,0,Argentinian left wing lawmaker Milagro Sala detained at her home, detained at 
345,1374,170,her home,,,important,0,,
346,1378,171,Dakar Rally,,,important,0,Dakar Rally finishes with Stephane Peterhansel, finishes with 
347,1379,171,Stephane Peterhansel,,,important,0,,
348,1388,172,this weeks attacks,,,important,0,this weeks attacks rises to eight, rises to 
349,1389,172,eight,,,important,0,,
350,1390,173,A suicide bomber,,,important,0,A suicide bomber kills atleast thirteen people, kills atleast thirteen people
351,1391,173,at least thirteen people,,,important,0,,
352,1395,174,militants,,,important,0,militants abduct at least 400 civilians, abduct 
353,1396,174,at least 400 civilians,,,important,0,,
354,1399,175,At least thirteen civilians,,,important,0,At least thirteen civilians killed by a roadside bomb, killed by 
355,1400,175,a roadside bomb,,,important,0,,
356,1413,176,southern Yemen,,,important,0,southern Yemen leaves at least seven people, leaves 
357,1414,176,at least seven people,,,important,0,,
358,1417,177,a microbus crash,,,important,0,a microbus crash in Egypts New Valley Governorate, in 
359,1418,177,Egypts New Valley Governorate,,,important,0,,
360,1419,178,Sierra Leone,,,important,0,Sierra Leone imposes quarantine, imposes 
361,1420,178,quarantine,,,important,0,,
362,1426,179,army chief General Raheel Sharif,,,important,0,army chief General Raheel Sharif visit Riyadh, visit 
363,1427,179,Riyadh,,,important,0,,
364,1441,180,Europe and US lift sanctions,,,important,0,Europe and US lift sanctions imposed on Iran, imposed on 
365,1442,180,Iran,,,important,0,,
366,1453,181,Italian Sicilian and Russian,,,important,0,Italian Sicilian and Russian betting syndicates, betting 
367,1454,181,syndicates,,,important,0,,
368,1459,182,Boryspil International Airport,,,important,0,Boryspil International Airport near Kiev, near Kiev
369,1463,183,a police building,,,important,0,a police building in Yemens capital Sanaa, in 
370,1464,183,Yemens capital Sanaa,,,important,0,,
371,1468,184,controlled territory,,,important,0,controlled territory in Syrias Aleppo Governorate, in 
372,1469,184,Syrias Aleppo Governorate,,,important,0,,
373,1481,185,complications,,,important,0,complications arising from rheumatoid arthritis colitis, arising from 
374,1482,185,rheumatoid arthritis colitis,,,important,0,,
375,1485,186,Xiao Gang head,,,important,0,Xiao Gang head resign afrer a sharp selloff, resign afrer 
376,1487,186,a sharp selloff,,,important,0,,
377,1497,187,750 job losses,,,important,0,750 job losses at its Port Talbot Steelworks, at 
378,1498,187,its Port Talbot Steelworks,,,important,0,,
379,1504,188,At least five French Foreign Legion soldiers,,,important,0,At least five French Foreign Legion soliders killed in avalanche ,At least five French Foreign Legion soliders killed in avalanche 
380,1506,188,an avalanche,,,important,0,,
381,1513,189,A man,,,important,0,A man linked to Paris attacks, linked to 
382,1514,189,Paris attacks,,,important,0,,
383,1517,190,police,,,important,0,police killed eight protesters, killed 
384,1518,190,eight protesters,,,important,0,,
385,1521,191,a Communist Party bill,,,important,0,a Communist Party bill banning homosexual expression, banning 
386,1522,191,homosexual expression,,,important,0,,
387,1524,192,a petition,,,important,0,a petition signed by more than 560000 people, signed by 
388,1525,192,more than 560000 people,,,important,0,,
389,1540,193,At least nine people,,,important,0,At least nine people killed after a suicide bomber, killed after 
390,1542,193,a suicide bomber,,,important,0,,
391,1548,194,Syrian Army troops,,,important,0,Syrian Army troops killed in Islamic State, killed in 
392,1549,194,Islamic State,,,important,0,,
393,1560,195,Human Rights,,,important,0,Human Rights releases a report, releases 
394,1561,195,a report,,,important,0,,
395,1565,196,Pakistan,,,important,0,Pakistan lifts a three year ban on YouTube, lifts a three year ban on 
396,1567,196,YouTube,,,important,0,,
397,1577,197,The price,,,important,0,The price of oil, of 
398,1578,197,oil,,,important,0,,
399,1585,198,Paris,,,important,0,Paris damaged by fire, damaged by 
400,1586,198,fire,,,important,0,,
401,1588,199,Iranian Deputy Foreign Minister,,,important,0,Iranian Deputy Foreign Minister left Tehran, left 
402,1589,199,Tehran,,,important,0,,
403,1603,200,The US Supreme Court,,,important,0,The US Supreme Court agrees to hear an appeal, agrees to hear 
404,1604,200,an appeal,,,important,0,,
405,1613,201,Tea Party activist Sarah Palin,,,important,0,Tea Party activist Sarah Palin endorses Republican Party presendential candidate Donald Trump, endorses Republican Party presendential candidate Donald Trump
406,1614,201,Republican Party presidential candidate Donald Trump,,,important,0,,
407,1621,202,a Mersenne,,,important,0,a Mersenne prime with 2742072811, prime with 
408,1623,202,2742072811,,,important,0,,
409,1626,203,League Baseball,,,important,0,League Baseball investigating Texas Rangers pitcher Yu Darvish, investigating 
410,1627,203,Texas Rangers pitcher Yu Darvish,,,important,0,,
411,1638,204,Gunmen,,,important,0,Gunmen attack a university, attack 
412,1639,204,a university,,,important,0,,
413,1642,205,A suicide bomber,,,important,0,A suicide bomber in Kabul Afghanistan, in 
414,1643,205,Kabul Afghanistan,,,important,0,,
415,1648,206,Associated Press,,,important,0,Associated Press reveal historic Saint Elijahs Monastery, reveal 
416,1649,206,historic Saint Elijahs Monastery,,,important,0,,
417,1657,207,Kyrgyzstans parliament,,,important,0,Kyrgzstans parliament revokes an agreement,Kyrgzstans parliament revokes 
418,1658,207,an agreement,,,important,0,,
419,1665,208,Moldovas parliament,,,important,0,Moldovas parliament approves a new government, approves 
420,1666,208,a new government,,,important,0,,
421,1670,209,2015,,,important,0,2015 was hottest year, was 
422,1671,209,hottest year,,,important,0,,
423,1677,210,astronomers,,,important,0,astronomers at Caltech, at 
